but week|this week	> patrick
c'mon	> simone
bryan	> brian
meek meek|meek mill|munich|meet me	> mimic
i need me k|i mean idk > hi mimic
cindy this	> send a text
cid|sid		> set
yesss|ya|yeah|okay	> yes
nah|kno|i know|nope|note	> no
cancer|kansas	> cancel
fun > phone
dianna|vienna |dina|deana	> diana
pewter|either|beat it|peeta	> peter
jen it|jenny	> janet
jones|joan|jones|join|job	> john
them up		> the map
this message	> send a text message
text|if it is|estimate|isn't	> sms
for|full|fall	> 4
won		> 1
tool	> 2
free	> 3
